Hole SNR1 SNR2 SNR3 SNR4 HasAlignment
11075790 10.9027 6.41654 9.81723 5.02602 False
11075791 14.2803 9.3013 10.6987 5.43663 True
11076003 13.7317 8.99643 12.7156 6.82987 True
11076007 6.30895 3.97655 5.05642 2.70878 False
11076009 14.9112 9.82726 12.2629 6.68029 True
11076010 16.0771 10.8871 14.5204 7.83575 True
11076012 13.0461 8.60451 13.0887 7.109 True
11076013 13.7861 8.99197 11.9762 6.13804 True
11076014 14.8414 9.37829 13.5012 7.18586 True
11076016 12.5326 8.18342 12.1763 6.76786 True
11076017 13.0506 8.89504 10.0359 5.43922 True
11076018 12.4846 8.6611 11.9744 6.46098 True
11076024 14.0072 9.5937 11.8004 6.38449 True
11076027 13.1393 8.47606 11.1651 5.90565 True
11076029 12.9414 9.1925 11.8745 6.19174 True
11076030 14.0311 8.71185 11.0688 6.20324 True
11076031 13.7667 9.03788 13.7116 7.17826 True
11076244 13.2554 7.12678 10.7491 4.90372 False
11076247 13.8033 9.20543 13.7128 7.57647 True
11076248 12.5863 8.1344 9.98195 5.26563 True
11076250 12.8516 8.71591 11.0223 6.09391 True
11076251 10.1496 6.76625 10.1924 5.26167 True
11076252 13.0203 8.64131 12.4883 6.73106 True
11076253 11.8937 7.61417 12.6854 6.95118 True
11076254 8.41154 5.39143 6.58504 3.51029 True
11076261 15.0274 9.71067 11.983 6.22044 True
11076262 12.5183 8.50307 13.0803 7.57355 True
11076263 13.6117 9.21977 12.0594 6.43814 True
11076264 12.9328 9.10533 12.422 6.85032 True
11076270 13.0272 8.49877 12.6196 6.72645 True
11076482 15.2117 9.97844 13.9948 7.48788 True
11076484 14.9738 10.1631 13.7071 7.86728 True
11076487 17.0391 11.1869 16.7868 8.84465 True
11076492 13.5818 9.37214 12.2534 6.57165 True
11076496 12.9436 8.40329 13.2084 7.0338 True
11076497 12.8843 8.82391 11.2528 6.09132 True
11076501 13.471 8.9838 13.125 7.44977 True
11076503 9.55204 5.08762 7.3713 3.52979 False
